movie_title,year,genre,duration,director,description,avg_vote,reviews_from_users,reviews_from_critics
The Perfect Tenant,2000,Thriller,93,Doug Campbell,Twenty years ago Danny Summer found his father hanging from the rafters on Christmas Eve. Ever since that night he has been plotting revenge. When Brian Hartwell moves into Jessica ...,4.6,12.0,4.0
Blast,2000,"Crime, Drama, Thriller",88,Martin Schenk,Four teenagers pull a prank that goes awry.,5.7,10.0,1.0
The Prodigy,2005,"Crime, Drama, Thriller",120,William Kaufman,"""The Prodigy"" tells the story of small-time enforcer Truman Fisher's vicious conflict with a sadistic assassin who has chosen the unwilling Truman to be his successor. The assassin, who ...",5.5,37.0,19.0
Punks,2000,"Comedy, Music, Romance",91,Patrik-Ian Polk,"The tale of 4 gay African-American friends in L.A: shy, virginal photographer Marcus, outgoing Lothario Hill, hot-to-trot rich kid newbie Dante, and fabulous drag diva Crystal.",7.0,13.0,7.0
Red Dirt,2000,"Drama, Romance",110,Tag Purvis,"Red Dirt offers the story of a young man's search to belong in this sublime expression of love and reconciliation. At only twenty, Griffith is struggling with the responsibilities of caring...",6.3,40.0,8.0
Spooky House,2002,"Comedy, Family",106,William Sachs,"Mysterious reclusive magician the Great Zamboni and his pet jaguar Shadow reside in the Spooky House, an old mansion that's rigged with magic tricks and hidden chambers. Young orphan Max ...",5.3,12.0,2.0
Train Ride,2000,Drama,93,Rel Dowdell,"Three college seniors who are thinking about nothing but graduation and going out with a bang from college, harshly discover that a culmination of four years of hard work can lead to a ...",4.1,41.0,10.0
Le verità nascoste,2000,"Drama, Fantasy, Horror",130,Robert Zemeckis,The wife of a university research scientist believes that her lakeside Vermont home is haunted by a ghost - or that she is losing her mind.,6.6,704.0,178.0
Lo scroccone e il ladro,2001,"Comedy, Crime",94,Sam Weisman,"A rich man catches a thief burglarizing his home and steals the thief's lucky ring, who then tries to get it back.",5.5,84.0,67.0
White Boy,2002,Drama,90,John Marino,"An Italian street hood gets romantically involved with a woman who is the ex-girlfriend of a leader of a white supremacist gang; after being being brutally attacked by the gang, he seeks revenge via his street connections.",3.6,7.0,2.0
Steal This Movie,2000,"Biography, Drama, Romance",107,Robert Greenwald,"Five years after Yippie founder Abbie Hoffman goes underground to avoid a drug-related prison sentence, he contacts a reporter to get out the story of the FBI's covert spying, harassment ...",6.5,43.0,42.0
Unseen Evil,2001,"Horror, Sci-Fi, Thriller",93,Jay Woelfel,"A group of hikers led by a college professor are searching the woods for an ancient Indian burial mound. When they discover a likely site, three members of the group reveal themselves to be...",3.4,11.0,8.0
Cast Away,2000,"Adventure, Drama, Romance",143,Robert Zemeckis,A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.,7.8,1184.0,100.0
Trixie,2000,"Comedy, Crime, Mystery",116,Alan Rudolph,"An eccentric, unconventional woman whose naive aspirations to rise from her job as a security guard to full-fledged private eye lead her into a tangled PL: mess.",5.1,35.0,38.0
Three Days of Rain,2002,Drama,98,Michael Meredith,Six Anton Chekhov short stories set in modern day Cleveland during a three day rain storm.,5.5,5.0,14.0
Jurassic Park III,2001,"Action, Adventure, Sci-Fi",92,Joe Johnston,"A decidedly odd couple with ulterior motives convince Dr. Grant to go to Isla Sorna for a holiday, but their unexpected landing startles the island's new inhabitants.",5.9,1312.0,226.0
The Operator,2000,"Comedy, Drama, Thriller",102,Jon Dichter,"A telephone operator takes revenge an a rude customer by ruining his credit rating, his reputation, and his marriage.",5.5,8.0,8.0
Skippy,2001,"Romance, Family, Comedy",90,Dionysius Zervos,A half-wit falls in love with a beautiful movie star.,3.4,9.0,1.0
Perversioni di lusso,2000,"Drama, Mystery, Thriller",105,Mary Lambert,"A mentally disturbed young woman takes a job at a posh country club and falls in with a clique of wealthy college kids where she's taken under the wing of the clique's twisted leader, who harbors some dark secrets too terrifying to tell.",4.7,88.0,49.0
Il Debutto,2000,"Comedy, Drama",94,Gene Cajayon,A young man struggles with his desire to study art when his family thinks he's headed for premed studies. Conflicts between Filipino traditions and expectations vs. personal dreams in the contemporary world erupt at his sister's debut.,6.5,33.0,19.0
Net Worth,2001,"Action, Adventure, Comedy",94,Kenny Griswold,Net Worth details the serio-comic story of four friends who learn the value of friendship as they embark on a thirty day contest to achieve the highest net worth in a new city with no cash and no connections.,6.1,12.0,
City of Ghosts,2002,"Crime, Drama, Thriller",116,Matt Dillon,"A con man (Matt Dillon) travels to Cambodia (also on the run from law enforcement in the U.S.) to collect his share in an insurance scam, but discovers more than he bargained for.",6.0,70.0,38.0
Big Monster on Campus,2000,"Comedy, Horror, Sci-Fi",92,"Mitch Marcus, John Blush",A student receives a serial killer's brain in a transplant after being thrown into a pool with no water in it.,4.6,14.0,2.0
Across the Line,2000,"Drama, Thriller",99,Martin Spottl,A small-town sheriff falls in love with a Latina illegal immigrant who witnessed a murder on the Texas border.,5.5,10.0,
Effetto virus,2000,Drama,89,William R. Greenblatt,"After his wife is killed researching a deadly virus, a doctor, out of anger and guilt, infects himself with the virus and threatens the world.",3.7,2.0,1.0
Un sogno impossibile,2002,"Comedy, Romance",91,John Walsh,"A lonely plumber poses as a director to meet women, and the writer whose script he's stolen builds on his ruse to get her movie made.",5.9,15.0,6.0
Fuga da Seattle,2002,"Crime, Drama",97,James Cox,"After Jack gets caught with a Vegas mobster's wife in bed, he's gotta hit the road. Jack's best friend Pilot accompanies him, and the pair sets out on an adventure akin to Kerouac's ""On the Road"".",6.2,66.0,3.0
Nautilus,2000,"Action, Sci-Fi",97,Rodney McDonald,"Over one hundred years ago, a cataclysmic chain of events plummeted the earth into the dark ages which destroyed most of civilization, and the remaining few survivors attempt to change the course of events that led to the destruction.",3.6,11.0,4.0
Black Sea 213,2000,"Action, Drama",85,Rafael Eisenman,"Gabe, a photographer, his assistant, Annie, and his boss hire a ship to take them out to sea on a modeling shoot. What Gabe doesn't know is that an old friend-turned-enemy of his has ...",3.4,4.0,
Conflitto fatale,2000,"Drama, Thriller",89,Cameron Thor,"Nine former schoolmates are invited to a cabin for a reunion, but their hostess commits suicide. They all try to find out the reason why.",4.1,26.0,3.0
Romeo deve morire,2000,"Action, Crime, Thriller",115,Andrzej Bartkowiak,An avenging cop seeks out his brother's killer and falls for the daughter of a businessman who is involved in a money-deal with his father.,6.1,374.0,72.0
Sinbad - La leggenda dei sette mari,2003,"Animation, Adventure, Family",88,"Patrick Gilmore, Tim Johnson","The sailor of legend is framed by the goddess Eris for the theft of the Book of Peace, and must travel to her realm at the end of the world to retrieve it and save the life of his childhood friend Prince Proteus.",6.7,108.0,94.0
Bones,2001,"Crime, Horror",96,Ernest R. Dickerson,"Over 20 years after his death by a gunshot, Jimmy Bones comes back as a ghost to wreak revenge on those who killed him and to clean up his neighborhood.",4.2,90.0,60.0
Daddy and Them,2001,"Comedy, Drama",101,Billy Bob Thornton,Dark comedy where a married couple comes to the aid of a jailed uncle.,5.7,43.0,5.0
Finding Kelly,2000,"Comedy, Family, Mystery",88,Lynn Hamrick,"Two teenage detectives, who started off finding lost kittens, begin searching for a missing high-school senior.",3.1,4.0,4.0
Monkeybone,2001,"Animation, Comedy, Fantasy",93,Henry Selick,"In a coma, a cartoonist finds himself trapped within his own underground creation and must find a way to get back, while racing against his popular but treacherous character, Monkeybone.",4.7,174.0,62.0
Spirit - Cavallo selvaggio,2002,"Animation, Adventure, Drama",83,"Kelly Asbury, Lorna Cook","A wild stallion is captured by humans and slowly loses the will to resist training, yet, throughout his struggles for freedom, the stallion refuses to let go of the hope of one day returning home to his herd.",7.1,253.0,110.0
Desert Saints,2002,"Action, Romance, Thriller",88,Richard Greenberg,"An American assassin, who works for cartels in Latin America, is back in USA. He gets a woman before each job and kills her after. FBI's on to him but are curious about his next big job.",6.0,35.0,7.0
The Girls' Room,2000,"Comedy, Drama",101,Irene Turner,Grace and her roommate Casey don't get along. Grace is in a happy relationship with Charlie and they are planning to get married soon and that frustrated Casey because she thinks Grace just...,4.4,11.0,
Hellboy,2004,"Action, Fantasy, Horror",122,Guillermo del Toro,"A demon, raised from infancy after being conjured by and rescued from the Nazis, grows up to become a defender against the forces of darkness.",6.8,652.0,105.0
Sognando l'Africa,2000,"Adventure, Biography, Drama",114,Hugh Hudson,"Kuki, a divorced Italian socialite, changes her life after a serious car crash. She accepts a marriage proposal from Paolo Gallmann, a man she doesn't know well, and she moves to Kenya with...",5.7,69.0,54.0
Un gran giorno per morire,2000,"Action, Comedy, Crime",101,Scott Wiper,A Chicago cop quits the force and finds himself threatened by the Mafia.,5.7,44.0,18.0
"Chicks, Man",2000,"Comedy, Romance",93,Jeremy Wagener,"Just as a man discovers that the girl of his dreams has been with him all the time, she walks out the door.",5.1,5.0,2.0
The Playaz Court,2000,"Crime, Drama, Mystery",97,Greg Morgan,"A gritty tale of how the game of life plays out in Inglewood, California. When a pickup basketball game turns deadly, Reggie seeks revenge as he tracks down his best friend's killers. When ...",5.6,2.0,2.0
Antwone Fisher,2002,"Biography, Drama",120,Denzel Washington,"Antwone Fisher, a young navy man, is forced to see a psychiatrist after a violent outburst against a fellow crewman. During the course of treatment a painful past is revealed and a new hope begins.",7.3,163.0,118.0
Tick Tock,2000,"Crime, Drama, Thriller",95,Kevin Tenney,A wealthy man becomes suspicious of his younger wife and hires a private detective in time to thwart her plans to have him killed.,5.9,19.0,1.0
Hollywood Palms,2001,Comedy,86,Jeffrey Nachmanoff,"Set entirely in the Hollywood Palms apartment building and its yard, this movie shows how people there live and interact with each other.",5.6,2.0,
Morgan's Ferry,2001,"Crime, Drama",91,Sam Pillsbury,Three escaped convicts hide out in the home a reclusive woman as they wait to catch a ferry.,5.6,11.0,2.0
Prince of Central Park,2000,"Action, Adventure, Drama",109,John Leekley,"A young boy sets out to find his mother. After setting up camp in Central Park, he encounters a group of people even needier than himself.",5.2,16.0,5.0
Generation Ax,2001,Horror,78,Tommy Faircloth,"Two giggly high school lovebirds playfully throw pieces of bloody human brain at one another, then take a messy shower, in the latest horror flick out of South Carolina, which is fast ...",3.1,6.0,3.0
Gun Shy - Un revolver in analisi,2000,"Comedy, Crime, Romance",101,Eric Blakeney,An undercover DEA agent brings down the Mafia.,5.7,94.0,39.0
Hamlet 2000,2000,"Drama, Romance, Thriller",112,Michael Almereyda,Modern-day New York City adaptation of Shakespeare's immortal story about Hamlet's plight to avenge his father's murder.,5.9,169.0,91.0
Tentazioni d'amore,2000,"Comedy, Drama, Romance",128,Edward Norton,"Two friends, a priest and a rabbi, fall in love with the same woman they knew in their youth, but the religious position of both men denies them romance.",6.3,262.0,146.0
Bad Boys II,2003,"Action, Comedy, Crime",147,Michael Bay,Two loose-cannon narcotics cops investigate the flow of Ecstasy into Florida from a Cuban drug cartel.,6.6,565.0,114.0
