,year,movie_title,certificate,duration,genre,rate,metascore,votes,gross,user_reviews,critic_reviews,cartoon,number_of_genres
1063,2014,Birdman or (The Unexpected Virtue of Ignorance),R,119,Comedy|Drama|Romance,7.80000019,88.0,420750,42340000,1122.0,593.0,False,3
1064,2013,The Tale of the Princess Kaguya,PG,137,Animation|Drama|Fantasy,8.10000038,89.0,21026,700000,80.0,168.0,True,3
1065,2016,Hell or High Water,R,102,Crime|Drama|Western,7.69999981,88.0,63359,26860000,218.0,310.0,False,3
1066,2014,Whiplash,R,107,Drama|Music,8.5,88.0,443341,13090000,770.0,541.0,False,2
1067,2014,The Fault in Our Stars,PG-13,126,Drama|Romance,7.80000019,69.0,262538,124870000,554.0,326.0,False,2
1068,2016,Star Trek Beyond,PG-13,122,Action|Adventure|Sci-Fi,7.099999900000001,68.0,149563,158804470,658.0,424.0,False,3
1069,2016,Fences,PG-13,139,Drama,7.69999981,78.0,8505,43130000,96.0,134.0,False,1
1070,2013,Locke,R,85,Drama,7.099999900000001,81.0,96843,1360000,264.0,351.0,False,1
1071,2016,The Secret Life of Pets,PG,87,Animation|Adventure|Comedy,6.599999900000001,61.0,96807,368310000,225.0,250.0,True,3
1072,2014,Fury,R,134,Action|Drama|War,7.599999900000001,64.0,320354,85710000,719.0,413.0,False,3
1073,2013,Ida,PG-13,82,Drama,7.400000099999999,91.0,37468,3830000,126.0,273.0,False,1
1074,2015,Everest,PG-13,121,Adventure|Biography|Drama,7.099999900000001,64.0,147875,43250000,279.0,367.0,False,3
1075,2014,"Two Days, One Night",PG-13,95,Drama,7.400000099999999,89.0,34667,1330000,108.0,374.0,False,1
1076,2017,Beauty and the Beast,PG,129,Family|Fantasy|Musical,7.30000019,65.0,195216,504010000,889.0,498.0,False,3
1077,2014,The Interview,R,112,Comedy,6.599999900000001,52.0,256133,6110000,845.0,293.0,False,1
1078,2014,Kingsman: The Secret Service,R,129,Action|Adventure|Comedy,7.69999981,58.0,421034,128250000,758.0,421.0,False,3
1079,2014,Leviathan,R,140,Drama,7.599999900000001,92.0,33871,0,102.0,254.0,False,1
1080,2015,Furious 7,PG-13,137,Action|Crime|Thriller,7.19999981,67.0,289500,350030000,668.0,430.0,False,3
